TEAM_ID,TEAM_CITY,TEAM_NAME,YEAR,GP,WINS,LOSSES,WIN_PCT,CONF_RANK,DIV_RANK,PO_WINS,PO_LOSSES,CONF_COUNT,DIV_COUNT,NBA_FINALS_APPEARANCE,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,PF,STL,TOV,BLK,PTS,PTS_RANK
1610612739,Cleveland,Cavaliers,2018,82,19,63,0.232,14,5,0,0,15,5,N/A,3189,7184,0.444,847,2388,0.355,1342,1694,0.792,879,2619,3498,1698,1642,534,1106,195,8567,29
1610612739,Cleveland,Cavaliers,2019,65,19,46,0.292,15,5,0,0,15,5,N/A,2619,5715,0.458,727,2070,0.351,983,1296,0.758,704,2172,2876,1500,1188,447,1073,211,6948,27
1610612739,Cleveland,Cavaliers,2020,72,22,50,0.306,13,4,0,0,15,5,N/A,2778,6175,0.45,720,2141,0.336,1200,1614,0.743,751,2327,3078,1716,1308,559,1114,325,7476,30
1610612739,Cleveland,Cavaliers,2021,82,44,38,0.537,9,3,0,0,15,5,N/A,3255,6940,0.469,953,2686,0.355,1376,1810,0.76,837,2786,3623,2064,1433,580,1181,343,8839,25
1610612739,Cleveland,Cavaliers,2022,82,51,31,0.622,4,2,1,4,15,5,N/A,3408,6984,0.488,950,2589,0.367,1439,1844,0.78,795,2574,3369,2045,1560,586,1094,384,9205,25
1610612740,New Orleans,Pelicans,2013,82,34,48,0.415,12,5,0,0,15,5,N/A,3101,6761,0.459,486,1303,0.373,1489,1936,0.769,933,2486,3419,1745,1857,647,1129,523,8177,18
1610612740,New Orleans,Pelicans,2014,82,45,37,0.549,8,5,0,4,15,5,N/A,3108,6795,0.457,586,1583,0.37,1345,1790,0.751,942,2621,3563,1806,1530,553,1087,510,8147,16
1610612740,New Orleans,Pelicans,2015,82,30,52,0.366,12,5,0,0,15,5,N/A,3153,7040,0.448,702,1951,0.36,1415,1823,0.776,782,2712,3494,1818,1713,633,1102,342,8423,13
1610612740,New Orleans,Pelicans,2016,82,34,48,0.415,10,4,0,0,15,5,N/A,3210,7130,0.45,768,2196,0.35,1368,1825,0.75,703,2879,3582,1869,1490,638,1054,453,8556,18
1610612740,New Orleans,Pelicans,2017,82,48,34,0.585,6,2,5,4,15,5,N/A,3500,7241,0.483,837,2312,0.362,1324,1716,0.772,712,2923,3635,2195,1570,657,1223,485,9161,3
1610612740,New Orleans,Pelicans,2018,82,33,49,0.402,13,4,0,0,15,5,N/A,3581,7563,0.473,842,2449,0.344,1462,1921,0.761,909,2969,3878,2216,1732,610,1215,441,9466,3
1610612740,New Orleans,Pelicans,2019,72,30,42,0.417,13,5,0,0,15,5,N/A,3065,6598,0.465,982,2656,0.37,1229,1687,0.729,797,2551,3348,1932,1524,539,1181,358,8341,6
1610612740,New Orleans,Pelicans,2020,72,31,41,0.431,11,4,0,0,15,5,N/A,3060,6412,0.477,762,2190,0.348,1369,1878,0.729,845,2568,3413,1872,1295,545,1052,315,8251,9
